[3, 1, 2, 7, 6, 0, 5, 4] : 98.35959
[3, 2, 1, 0, 5, 4, 6, 7] : 108.089195
[3, 2, 1, 0, 5, 4, 7, 6] : 106.5867
[3, 2, 1, 0, 5, 6, 4, 7] : 103.71473
[3, 2, 1, 0, 5, 6, 7, 4] : 95.26036
[3, 2, 1, 0, 6, 5, 4, 7] : 105.79432
[3, 2, 1, 0, 6, 7, 4, 5] : 105.533966
[3, 4, 2, 1, 0, 5, 6, 7] : 102.292725
[3, 4, 5, 0, 1, 2, 7, 6] : 108.22282
[3, 4, 5, 6, 0, 1, 2, 7] : 107.43044
[3, 4, 6, 5, 0, 1, 2, 7] : 105.350845
[3, 4, 6, 7, 2, 1, 0, 5] : 105.090485
[3, 4, 7, 2, 1, 0, 5, 6] : 103.84835
[3, 4, 7, 2, 1, 0, 6, 5] : 102.79561
[3, 5, 0, 1, 2, 4, 6, 7] : 110.486725
[3, 5, 0, 1, 2, 4, 7, 6] : 108.98424
[3, 5, 0, 1, 2, 7, 4, 6] : 112.04235
[3, 5, 0, 1, 2, 7, 6, 4] : 105.09048
[3, 5, 4, 2, 1, 0, 6, 7] : 112.56632
[3, 5, 4, 6, 0, 1, 2, 7] : 115.62444
[3, 5, 4, 7, 2, 1, 0, 6] : 114.12195
[3, 5, 6, 0, 1, 2, 4, 7] : 108.19185
[3, 5, 6, 0, 1, 2, 7, 4] : 102.7956
[4, 2, 1, 0, 3, 5, 6, 7] : 106.76146
[4, 2, 1, 3, 0, 5, 6, 7] : 97.95097
[4, 2, 1, 3, 5, 0, 6, 7] : 99.121
[4, 2, 3, 1, 0, 5, 6, 7] : 98.69789
[4, 2, 7, 6, 0, 1, 3, 5] : 110.607605
[4, 3, 0, 1, 2, 7, 6, 5] : 106.000046
[4, 3, 1, 2, 7, 6, 0, 5] : 98.35959
[4, 3, 2, 1, 0, 5, 6, 7] : 95.26036
[4, 3, 5, 0, 1, 2, 7, 6] : 105.090485
[4, 3, 5, 6, 0, 1, 2, 7] : 102.795616
[4, 5, 0, 1, 3, 2, 7, 6] : 106.130486
[4, 5, 0, 3, 1, 2, 7, 6] : 105.38356
[4, 5, 3, 0, 1, 2, 7, 6] : 114.194046
[4, 5, 3, 2, 1, 0, 6, 7] : 105.533966
[4, 5, 6, 0, 1, 3, 2, 7] : 103.83561
[4, 5, 6, 0, 3, 1, 2, 7] : 103.088684
[4, 6, 0, 5, 3, 1, 2, 7] : 102.17913
[4, 6, 5, 0, 1, 3, 2, 7] : 101.75601
[4, 6, 5, 0, 3, 1, 2, 7] : 101.00909
[4, 6, 5, 3, 0, 1, 2, 7] : 109.81958
[4, 6, 7, 2, 1, 0, 3, 5] : 114.194046
[4, 6, 7, 2, 1, 3, 0, 5] : 105.38356
[4, 6, 7, 2, 3, 1, 0, 5] : 106.13048
[4, 7, 2, 1, 0, 3, 5, 6] : 109.81958
[4, 7, 2, 1, 3, 0, 5, 6] : 101.00909
[4, 7, 2, 1, 3, 0, 6, 5] : 103.088684
[4, 7, 2, 1, 3, 5, 0, 6] : 102.17913
[4, 7, 2, 3, 1, 0, 5, 6] : 101.75601
[4, 7, 2, 3, 1, 0, 6, 5] : 103.8356
[4, 7, 6, 0, 1, 2, 3, 5] : 105.533966
[5, 0, 1, 2, 3, 4, 6, 7] : 107.09219
[5, 0, 1, 2, 3, 4, 7, 6] : 95.26036
[5, 0, 1, 3, 2, 4, 6, 7] : 110.529724
[5, 0, 1, 3, 2, 4, 7, 6] : 98.6979
[5, 0, 1, 3, 2, 7, 4, 6] : 101.75601
[5, 0, 1, 3, 4, 2, 7, 6] : 100.33401
[5, 0, 3, 1, 2, 4, 6, 7] : 109.7828
[5, 0, 3, 1, 2, 4, 7, 6] : 97.95097
[5, 0, 3, 1, 2, 7, 4, 6] : 101.00909
[5, 0, 6, 4, 3, 1, 2, 7] : 105.816956
[5, 3, 0, 1, 2, 4, 6, 7] : 118.59329
[5, 3, 0, 1, 2, 4, 7, 6] : 106.76146
[5, 3, 0, 1, 2, 7, 4, 6] : 109.81958
[5, 3, 1, 0, 6, 4, 2, 7] : 118.06497
[5, 3, 2, 1, 0, 6, 4, 7] : 112.991325
[5, 3, 4, 2, 1, 0, 6, 7] : 111.56932
[5, 3, 4, 6, 0, 1, 2, 7] : 114.62744
[5, 3, 4, 7, 2, 1, 0, 6] : 102.79561
[5, 4, 2, 1, 3, 0, 6, 7] : 111.8624
[5, 4, 2, 3, 1, 0, 6, 7] : 112.60932
[5, 4, 3, 0, 1, 2, 7, 6] : 106.00004
[5, 4, 3, 2, 1, 0, 6, 7] : 109.17179
[5, 4, 6, 0, 1, 3, 2, 7] : 115.667435
[5, 4, 6, 0, 3, 1, 2, 7] : 114.92052
[5, 4, 7, 2, 1, 3, 0, 6] : 103.088684
[5, 4, 7, 2, 3, 1, 0, 6] : 103.8356
[5, 6, 0, 1, 2, 3, 4, 7] : 104.79732
[5, 6, 0, 1, 3, 2, 4, 7] : 108.23485
[5, 6, 0, 1, 3, 4, 2, 7] : 109.870964
[5, 6, 0, 3, 1, 2, 4, 7] : 107.48792
[5, 6, 4, 3, 0, 1, 2, 7] : 113.457405
[6, 0, 1, 2, 3, 5, 4, 7] : 105.53396
[6, 0, 1, 3, 5, 4, 2, 7] : 110.607605
[6, 0, 5, 3, 1, 2, 4, 7] : 99.12101
[6, 0, 5, 4, 3, 1, 2, 7] : 98.35959
[6, 4, 3, 5, 0, 1, 2, 7] : 105.09048
[6, 4, 5, 0, 1, 3, 2, 7] : 106.13048
[6, 4, 5, 0, 3, 1, 2, 7] : 105.38355
[6, 4, 5, 3, 0, 1, 2, 7] : 114.19405
[6, 5, 0, 1, 2, 3, 4, 7] : 95.26037
[6, 5, 0, 1, 3, 2, 4, 7] : 98.69789
[6, 5, 0, 1, 3, 4, 2, 7] : 100.33401
[6, 5, 0, 3, 1, 2, 4, 7] : 97.950966
[6, 5, 3, 0, 1, 2, 4, 7] : 106.76145
[6, 5, 4, 3, 0, 1, 2, 7] : 106.000046
